State,Latitude,Longitude,Year_x,Cases,Deaths_x,Year_y,Tested,Positive,Deaths_y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Andhra Pradesh,15.9129,79.74,2019.0,5286.0,0.0,2022.0,7336198.0,280.0,1457.0,,,,,,,,,,,,,,,,,
Andhra Pradesh,15.9129,79.74,2019.0,5286.0,0.0,2023.0,8653048.0,5268.0,118.0,,,,,,,,,,,,,,,,,
Andhra Pradesh,15.9129,79.74,2020.0,925.0,0.0,2022.0,7336198.0,280.0,1457.0,,,,,,,,,,,,,,,,,
Andhra Pradesh,15.9129,79.74,2020.0,925.0,0.0,2023.0,8653048.0,5268.0,118.0,,,,,,,,,,,,,,,,,
Arunachal Pradesh,28.218,94.7278,,,,,,,,,,,,,,,,,,,,,,,,
Assam,26.2006,92.9376,2019.0,196.0,0.0,2022.0,4486737.0,578.0,208.0,,,,,,,,,,,,,,,,,
Assam,26.2006,92.9376,2019.0,196.0,0.0,2023.0,5815212.0,4785.0,518.0,,,,,,,,,,,,,,,,,
Assam,26.2006,92.9376,2020.0,33.0,0.0,2022.0,4486737.0,578.0,208.0,,,,,,,,,,,,,,,,,
Assam,26.2006,92.9376,2020.0,33.0,0.0,2023.0,5815212.0,4785.0,518.0,,,,,,,,,,,,,,,,,
Bihar,25.0961,85.3131,2019.0,6712.0,0.0,2022.0,311235.0,14198.0,31.0,,,,,,,,,,,,,,,,,
Chhattisgarh,21.2787,81.8661,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,28.7041,77.1025,,,,,,,,,,,,,,,,,,,,,,,,
Goa,15.2993,74.124,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,22.2587,71.1924,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,29.0588,76.0856,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,31.1048,77.1734,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,23.6102,85.2799,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,15.3173,75.7139,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,10.8505,76.2711,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,22.9734,78.6569,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,19.7515,75.7139,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,24.6637,93.9063,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,25.467,91.3662,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,23.1645,92.9376,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,26.1584,94.5624,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,20.9517,85.0985,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,31.1471,75.3412,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,27.0238,74.2179,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,27.533,88.5122,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,11.1271,78.6569,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,17.1232,79.2088,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,23.9408,91.9882,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,26.8467,80.9462,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,30.0668,79.0193,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,22.9868,87.855,,,,,,,,,,,,,,,,,,,,,,,,
